Note-id	Note_jpn	Note	Registered	LastUpdated
Note-id_11	14,122症例（うち62%確定）、3,955死亡（2014年の西アフリカでのアウトブレイクにおけるシエラレオネ共和国国内）（2016年2月17日現在）。	14,122 cases (62% confirmed) and 3,955 deaths (in Sierra Leone since the epidemic in West Africa began in 2014) (as of February 17, 2016).	2021-08-22	
Note-id_12	死体との接触を制限し、適切な防護具を備え訓練を受けた専門団による安全で威厳のある埋葬の促進と実施（アフリカの伝統的な葬儀は、ウイルス量が多いときに、感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう）。	Limiting contact with potentially infectious corpses, promotion and implementation of safe and dignified burials by trained teams with appropriate protective equipment (e.g., traditional funeral in Africa; contact with infected bodies, body fluids, contaminated clothing, and other personal items during high viral load (cause transmission)).	2021-08-22	2021-09-27
Note-id_13	ヒト→ヒト；（ウイルス量が多いときに、）感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう（例、アフリカの伝統的な葬儀）。	Human to human; contact with infected bodies, body fluids, contaminated clothing, and other personal items (during high viral load) cause transmission (e.g., traditional funeral in Africa).	2021-08-22	2021-09-27
Note-id_14	症例（数）の管理、公衆衛生介入；コミュニティ関与、監視、接触者追跡（連絡先のフォローアップ）。	Control infectious disease cases and intervene public health; community engagement, surveillance, and contact tracing (follow-up of contacts).	2021-08-22	
Note-id_15	モノネガウイルス目フィロウイルス科エボラウイルス、Ebola virus、Ebolavirus、EBOV；ザイール、ブンディブギョ、スーダン，タイフォレスト、レストン（各亜型名は発見された地形に由来）。	Mononegavirales order Filoviridae family Ebola virus, Ebolavirus or EBOV; Zaire, Bundibugyo, Sudan, Tai Forest and Reston (each subtype was named from discovered topography).	2021-08-22	2021-10-22
Note-id_16	全世界。感染した人や動物、汚染された物資の移動によって、世界中に広がりうる。	Around the globe. Possible to transmit everywhere through infected humans and animals move and transports of contaminated resources.	2021-08-22	2021-09-27
Note-id_17	ウイルス性疾患；ヒト→ヒト；（ウイルス量が多いときに、）感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう（例、アフリカの伝統的な葬儀）。	Viral diseases; human to human; contact with infected bodies, body fluids, contaminated clothing, and other personal items (during high viral load) cause transmission (e.g., traditional funeral in Africa).	2021-08-22	2021-09-27
Note-id_18	出血熱（死亡症例の約70-80%）。	Critical hemorrhagic fever (about 70-80% of death cases).	2021-08-22	
Note-id_19	感染初期は、マクロファージと内皮細胞を標的とする。	Early in infection, infects macrophages and endothelial cells.	2021-08-22	
Note-id_20	ウイルスタンパク質24（eVP24）が（ウイルス感染を伝達する）インターフェロンシグナルを妨げる。	Viral Protein 24 (eVP24) prevents interferon-based signals.	2021-08-22	
Note-id_21	宿主の免疫システム操縦法。	How to manipulate the immune system of host.	2021-08-22	
Note-id_22	承認済み治療法なし。	No approved treatment.	2021-08-22	
Note-id_24	ヒトの食料になっており（ブッシュミート）、流通している（西アフリカ）。	Eaten and distributed by humans (as bushmeat) (e.g., in West Africa).	2021-08-22	2021-09-27
Note-id_25	アレルゲン。幼少期の暴露により、フィトヘマグルチニンなど刺激物質へのIFN-αやIL-10といったサイトカイン応答が有意に増強、微生物やウイルス刺激によるアレルギー感作や再発性喘鳴と関連（都市部）。	One of allergens. Exposure to certain allergens (cockroach, mouse, dust mite) in early life and in urban homes make significant enhance cytokine responses, such as IFN-α and IL-10 responses to certain stimulants and phytohemagglutinin. It relates cytokine responses against specific microbial and viral stimuli are associated with the development of allergic sensitization and recurrent wheeze. 	2021-08-22	2021-09-27
Note-id_26	ゴキブリ、マウス、ダニといったアレルゲンへの幼少期の暴露により、フィトヘマグルチニンなど刺激物質へのIFN-αやIL-10といったサイトカイン応答が有意に増強、微生物やウイルス刺激によるアレルギー感作や再発性喘鳴と関連（都市部）。	Exposure to certain allergens (cockroach, mouse, dust mite) in early life in urban homes make significant enhance cytokine responses, such as IFN-α and IL-10 responses to certain stimulants and phytohemagglutinin. It relates cytokine responses against specific microbial and viral stimuli are associated with the development of allergic sensitization and recurrent wheeze. 	2021-08-22	2021-09-27
Note-id_27	候補宿主動物－SARS-CoV-2への人為的感染可（ワクチン開発など）；ネコ、フェレット、ハムスター、コウモリ、霊長目。	Candidate animal hosts by artificial infection to SARS-CoV-2; cats, ferrets, hamsters, bats and non-human primates. 	2021-08-22	2021-09-29
Note-id_28	SARS-CoV-2の候補宿主（人為的感染能）。	Candidate SARS-CoV-2 host by infectious ability.	2021-08-22	
Note-id_29	候補宿主動物－SARS-CoV-2への人為的感染難（ワクチン開発など）；イヌ、ブタ、家禽。	Difficult animals for artificial infection to SARS-CoV-2; dogs, pigs and poultry. 	2021-08-22	2021-09-27
Note-id_30	SARS-CoV-2の宿主候補外（人為的感染能）。	May exclude from SARS-CoV-2 host by difficulties of artificial infection.	2021-08-22	
Note-id_31	候補宿主動物－SARS-CoV-2への感染の報告あり； （飼育下）（大型）ネコ、（養殖）ミンク、イヌ、トラ、ライオン、その他コンパニオンアニマル（ペット）（2020年7月初旬現在）。	Candidate animal hosts by reported infection to SARS-CoV-2; big cats, farmed minks and companion animals (pets), as of early July 2020. 	2021-08-22	2021-09-17
Note-id_32	SARS-CoV-2の候補宿主（感染報告あり）（2020年7月初旬現在）。	Candidate SARS-CoV-2 host by infection reports, as of early July 2020.	2021-08-22	2021-08-31
Note-id_33	SARS-CoV-2感染は、イヌで無症候性、ネコで軽～中症候性、ミンクで高～致死的症候性。	SARS-CoV-2 infections; asymptomatic in dogs, mild to moderate in felines, and severe to fatal in mink.	2021-08-22	
Note-id_34	SARS-CoV-2感染無症候性。	Asymptomatic for SARS-CoV-2 infections.	2021-08-22	
Note-id_35	SARS-CoV-2感染軽～中症候性。	Mild to moderate for SARS-CoV-2 infections.	2021-08-22	
Note-id_36	SARS-CoV-2感染高～致死的症候性。	Severe to fatal for SARS-CoV-2 infections.	2021-08-22	
Note-id_37	ヒト→コンパニオンアニマル（ペット）；濃厚接触。但し、飼育下での限定的なもの。	Transmitted to companion animals (pets) by close contact with COVID-19 patients but under limited condition like domestic settings.	2021-08-22	2021-09-17
Note-id_38	高密度動物下で動物間SARS-CoV-2感染が持続する可能性。	Any SARS-CoV-2 transmission between animals and animals, under high-density condition?	2021-08-22	2021-09-21
Note-id_39	SARS-CoV-2感染；COVID-19を発症したヒト→。濃厚接触。但し、飼育下での限定的なもの。	SARS-CoV-2 infections; close contact with COVID-19 patients but under limited condition like domestic settings.	2021-08-22	
Note-id_40	（農場）ミンク→ヒト（調査中）。	Infected farmed minks may transmit humans (under investigation).	2021-08-22	
Note-id_41	SARS-CoV-2感染ミンク→ヒト（調査中）。	SARS-CoV-2 infected farmed minks may transmit humans (under investigation).	2021-08-22	
Note-id_42	COVID-19感染が世界中で数百万人に及ぶということは、更なる人獣共通感染症の発生、ウイルス伝播の可能性がある。SARS-CoV-2が動物で集団感染するか要注視。	Millions of COVID-19 cases around the globe means further zoonotic and anthroponotic viral transmission may has come. Need further research and surveillance for SARS-CoV-2 transmission in animals.	2021-08-22	2021-09-27
Note-id_43	人獣共通感染症のホットスポットをなくし、さまざまな病原体、宿主、媒介と多岐にわたる人獣共通感染症のパンデミックを阻止していくためには、医療努力だけでなく、病気の監視、適切な情報、衛生知識の普及といったワンヘルス、さらには貧困救済、気候変動を含む環境問題への対応、文化や伝統への相互理解も必要不可欠である。	For block of hotspot and prevention of pandemic caused by zoonoses, relates various pathogens, reservoirs and transmitters, need not only medical efforts but surveillance of diseases, information and knowledge as One Health measures, poverty reduction, address global environmental problem including climate change and mutual understanding of culture and traditions.	2021-08-22	2021-09-27
Note-id_44	ワンヘルス。	As One Health measures.	2021-08-22	
Note-id_45	ヒトと動物の接点と感染症伝播との関連性へのさらなる理解が、多くの人獣共通感染症コントロールに必要。	Need further understanding about human-animal interface and its relevance to disease transmission to control many zoonoses.	2021-08-22	2021-09-09
Note-id_46	動物種毎のSARS-CoV-2への感受性と、COVID-19への関わり。	Susceptibility of each animal species to infection with SARS-CoV-2 and the role of animals in COVID-19.	2021-08-22	
Note-id_47	全世界。	Around the globe.	2021-08-22	2021-09-27
Note-id_49	候補自然宿主；コウモリ。	Candidate natural reservoirs; bats.	2021-08-22	
Note-id_50	ベータコロナウイルス属新型コロナウイルス、Severe acute respiratory syndrome coronavirus 2、SARS-CoV-2、2019-nCoV、coronavirus-19（COVID-19；新型コロナウイルス）、severe acute respiratory syndrome-coronavirus 2、Severe Acute Respiratory Syndrome (SARS) related coronavirus、Covid-19 coronavirus。	Betacoronavirus genus novel coronavirus, severe acute respiratory syndrome coronavirus 2, SARS-CoV-2, 2019-nCoV, coronavirus-19 (COVID-19; novel coronavirus), severe acute respiratory syndrome-coronavirus 2, Severe Acute Respiratory Syndrome (SARS) related coronavirus or Covid-19 coronavirus.	2021-08-23	2021-10-13
Note-id_51	ACE2（ACE-2）、heparan sulfate、TMPRSS2、Cathepsin L、furin。	ACE2 (ACE-2), heparan sulfate, TMPRSS2, Cathepsin L, furin.	2021-08-23	
Note-id_52	NRP1、NRP2とBASIGINのメカニズムは検討中。	NRP1, NRP2 and BASIGIN are under consideration.	2021-08-23	
Note-id_53	痛み（急性期および後期（後遺症。long COVID））。	Pain (in the acute phase and at later stages (long COVID)).	2021-08-23	
Note-id_54	SARS-CoV-2は侵害受容器へ直接感染可。	SARS-CoV-2 direct infection to nociceptors.	2021-08-23	
Note-id_55	COVID-19が侵害受容器における痛みの感知を誘発、悪化させる複数の機構。	Multiple potential mechanisms; COVID-19 could induce nociceptor to excitable changes may cause promote pain, induce neuropathies, and worsen existing pain states.	2021-08-23	
Note-id_56	痛みの誘発と、悪化させる複数の機構。	Multiple potential mechanisms; viral infection (like COVID-19) could induce nociceptor to excitable changes may cause promote pain, induce neuropathies, and worsen existing pain states.	2021-08-23	
Note-id_57	2019年末、武漢（中国湖北省）に端を発し、全世界に感染拡大。2020年3月11日までに世界保健機構（WHO）がパンデミックと宣言。	Originated in Wuhan (Hubei, China) during late 2019 and spread around the globe. The outbreak of COVID-19 was declared a pandemic by the WHO by March 11 2020.	2021-08-23	2021-09-27
Note-id_58	全世界で約9,800万人の確定症例、約200万人が死亡（2021年1月現在）。	About 98.0 million confirmed cases and about 2.0 million confirmed deaths in the world, as of January 2021.	2021-08-23	
Note-id_59	緊急使用許可ワクチン；mRNA；BNT162、mRNA-1273。 （血液型は無関係、ワクチン接種の優先順位には非採用。）	Emergency use authorization vaccines; mRNA vaccines (BNT162 and mRNA-1273). (Blood group antigens are not susceptibility factors and vaccination should be randomly.)	2021-08-23	2021-08-27
Note-id_60	COVID-19、coronavirus disease 2019、coronavirus infectious disease 2019。	COVID-19, coronavirus disease 2019 or coronavirus infectious disease 2019.	2021-08-23	2021-09-06
Note-id_61	重度の呼吸器症状（60歳以上）。急性呼吸窮迫症候群（急性呼吸促迫症候群）（ARDS）。	Severe respiratory symptoms (60 years and older). Acute respiratory distress syndrome (ARDS).	2021-08-23	2021-08-25
Note-id_62	2～14日（感染期間）。	2 - 14 days (communicability period).	2021-08-23	
Note-id_63	発熱、咳、喉の痛み、息切れ。めまい、頭痛、発作、嗅覚の喪失、味覚の喪失。腹部痛、倦怠感、関節痛、胸痛、知覚異常。呼吸困難。中枢神経系疾患。肺炎。アテローム性動脈硬化症、血栓症、下痢、緑内障、皮膚病変（皮膚炎）。臓器の機能不全（特に基礎疾患（高血圧、糖尿病、COPD/気管支ぜんそく、心臓病、冠動脈疾患、慢性腎臓病、肥満）をもつ者）。臓器損傷（肺、心臓、腎臓、睾丸）。脳卒中。	High temperature, fever, cough, sore throat, shortness of breath. Dizziness, headache, seizure, loss of sense of smell, loss of sense of taste. Pain abdomen, fatigue, joints pain, chest pain, altered sensorium. Serious breathing problems. CNS symptoms. Inflammation of the lungs, organ malfunction (patients especially with comorbidities hypertension, diabetes, COPD/bronchial asthma, heart disease, coronary artery disease, chronic kidney disease and obesity). Damages to organs (lung, heart, kidney, and testicle). Stroke.	2021-08-23	
Note-id_64	緊急使用許可薬；remdesivir（レムデシビル）、lopinavir（ロピナビル）、ritonavir（リトナビル）。	Emergency use authorization drugs; remdesivir, lopinavir and ritonavir.	2021-08-23	2021-08-27
Note-id_65	効果的な治療法なし（対症療法/支持療法）。	No specific and effective treatment (supportive care).	2021-08-23	
Note-id_66	手洗い（消毒石鹸と流水）、手指消毒剤（アルコール）。（要認知症（アルツハイマー病）患者へのサポート。） 上記措置の厳格な遵守。	Hand washing (with antiseptic soap and running water), usage of alcohol hand sanitizer. (Need supports for dementia (Alzheimer's disease) patients.)  Strict compliance to measures provided above.	2021-08-23	2021-09-27
Note-id_67	頻繁な表面消毒、定期的な換気。 上記措置の厳格な遵守。	Frequent surfaces cleaning and regular respiratory hygiene. Strict compliance to measures provided above.	2021-08-23	2021-08-23
Note-id_68	頻繁な検査、自己隔離、検疫、接触者追跡。 上記措置の厳格な遵守。	Frequent testing, self-isolation, quarantine and contact tracing. Strict compliance to measures provided above.	2021-08-23	
Note-id_69	ウイルス性病原体の拡散防止；手洗い（消毒石鹸と流水）、手指消毒剤（アルコール）。（要認知症（アルツハイマー病）患者へのサポート。） 上記措置の厳格な遵守。	For prevent further spread, and control the transmission of the viral pathogen; hand washing (with antiseptic soap and running water), usage of alcohol hand sanitizer. (Need supports for dementia (Alzheimer's disease) patients.)  Strict compliance to measures provided above.	2021-08-23	2021-09-27
Note-id_70	ウイルス性病原体の拡散防止；頻繁な表面消毒、定期的な換気。 上記措置の厳格な遵守。	For prevent further spread, and control the transmission of the viral pathogen; frequent surfaces cleaning and regular respiratory hygiene. Strict compliance to measures provided above.	2021-08-23	2021-08-23
Note-id_71	ウイルス性病原体の拡散防止；頻繁な検査、自己隔離、検疫、接触者追跡。 上記措置の厳格な遵守。	For prevent further spread, and control the transmission of the viral pathogen; frequent testing, self-isolation, quarantine and contact tracing. Strict compliance to measures provided above.	2021-08-23	
Note-id_72	マスク、手袋を主とした個人防護具（PPE）。 上記措置の厳格な遵守。	Personal protective equipment (PPE); masks and gloves. Strict compliance to measures provided above.	2021-08-23	
Note-id_73	社会的距離の遵守（社会距離（拡大）戦略（ソーシャルディスタンシング））。 上記措置の厳格な遵守。	Social distancing. Strict compliance to measures provided above.	2021-08-23	
Note-id_74	ウイルス性病原体の拡散防止；マスク、手袋を主とした個人防護具（PPE）。 上記措置の厳格な遵守。	For prevent further spread, and control the transmission of the viral pathogen; personal protective equipment (PPE); masks and gloves. Strict compliance to measures provided above.	2021-08-23	2021-08-23
Note-id_75	ウイルス性病原体の拡散防止；社会的距離の遵守（社会距離（拡大）戦略（ソーシャルディスタンシング））。 上記措置の厳格な遵守。	For prevent further spread, and control the transmission of the viral pathogen; social distancing. Strict compliance to measures provided above.	2021-08-23	2021-08-23
Note-id_76	全ての人に感染の可能性はあり、年齢、男女差、人種差は、集団発生地域の状況によって異なる。	All age groups, races and ethnicities have possibility to infection, and age (older), sex (male), and racial differences depends on  the outbreak area.	2021-08-24	
Note-id_77	平均回復期間；8.15日。	Average recovery time; 8.15 days.	2021-08-24	
Note-id_79	集団発生地域の状況によって異なるものの、高死亡リスク; 男性、高齢、基礎/併存疾患（糖尿病、心臓病、腎機能障害および肥満（高血糖値およびBMI））、脳卒中（既往歴含む）および社会経済的貧困。	High risk for mortality; male, older, comorbidities diabetes, heart disease, renal impairment and obesity (high glycaemic value and BMI), (previous) stroke and socioeconomic deprivation.	2021-08-24	2021-08-27
Note-id_80	感染者の多くは診断時にほぼ無症状（特に若年）。	Many infected people are mostly asymptomatic at the time of diagnosis (especially in young).	2021-08-24	
Note-id_81	複数併存疾患により感染力は増強。	More infectivity with multiple comorbidities.	2021-08-24	2021-09-27
Note-id_82	緊急使用許可後、撤回薬；chloroquine（クロロキン）、hydroxychloroquine（ヒドロキシクロロキン）。	Revoked emergency use authorization drugs; chloroquine and hydroxychloroquine.	2021-08-24	2021-08-27
Note-id_83	意識レベルの低下、発作（死亡率の増加）。	Depressed level of consciousness and seizure (causes increased of mortality).	2021-08-24	2021-09-27
Note-id_84	都市封鎖（ロックダウン）は感染防止に非常に有効ではあるが、長期に渡ると、うつ病を引き起こす（併存疾患をもつ人やその介護者）。また、地域により（併存疾病を含む）医療格差が大きくなりうる。	Lockdown, one of the most powerful preventive measurements for infection and transmission of COVID-19, should be made effective and shorten one. It extended may cause depression in people (especially both patients and their caregivers), and may widen health disparity depends on areas.	2021-08-24	
Note-id_85	ウイルス性病原体の拡散防止；都市封鎖（ロックダウン）は感染防止に有効ではあるが、長期に渡ると、うつ病を引き起こす（併存疾患をもつ人やその介護者）。また、地域により（併存疾病を含む）医療格差が大きくなりうる。	For prevent further spread, and control the transmission of the viral pathogen; lockdown, one of the most powerful preventive measurements for infection and transmission of zoonoses, should be made effective and shorten one. It extended may cause depression in people (especially both patients and their caregivers), and may widen health disparity depends on areas.	2021-08-24	
Note-id_86	都市封鎖（ロックダウン）。他所へ広げる前の初期段階がより効果的。	Lockdown. The quicker done, the more effective.	2021-08-24	2021-09-03
Note-id_87	ヒトまたはコンパニオンアニマル（ペット）がCOVID-19に感染した場合、特に人獣共通感染症の危険性を理解できない人（認知症（アルツハイマー病）の患者や子供など）動物に適切なケアが必要です。	When either humans or companion animals (pets) infected COVID-19, needs suitable care for that especially can't understand dangerous of zoonoses (e.g., dementia (Alzheimer's disease) patients and children).	2021-08-28	2021-09-27
Note-id_88	コンパニオンアニマル（ペット）または飼い主が人獣共通感染症に感染した場合、特に病気の危険性を理解できない人（認知症（アルツハイマー病）の患者や子供など）や動物に適切なケアが必要。	When either companion animals (pets) or owner infected zoonoses, needs suitable care for that especially can't understand dangerous of disease (e.g., dementia (Alzheimer's disease) patients and children).	2021-08-28	2021-09-27
Note-id_89	サイトカインストーム。	Cytokine storm.	2021-08-28	
Note-id_90	候補薬；ACE阻害薬、AT1R遮断薬/拮抗薬（ロサルタンおよびその誘導体）、天然ペプチド薬（「逆調節」RAS；アンジオテンシン1-7、アンジオテンシン1-9、アラマンジン、アンジオテンシンAおよび/またはアンジオテンシンIV）。	Candidate drugs; chloroquine phosphate (wide range of antiviral effects). ACE inhibitors, AT1R blockers/antagonists (Losartan and derivatives), natural peptide drugs ('counter-regulatory' RAS; Angiotensin 1-7, Angiotensin 1-9, Alamandine, Angiotensin A and/or Angiotensin IV).	2021-08-28	
Note-id_91	開発中；ACE2-Ig（その他コロナウィルスにも効果あり）。組み換えACE2。	Under developed; ACE2-Ig (also against some other SARS-like viruses). Recombinant ACE2.	2021-08-28	2021-08-30
Note-id_92	全身性炎症、血管内凝固障害（血栓性合併症）、静脈血栓塞栓症。	Systemic inflammation, intravascular coagulopathy (thrombotic complications), and venous thromboembolism.	2021-08-28	
Note-id_93	集中治療。	Hospitalized in intensive care.	2021-08-28	
Note-id_94	炎症性パラメーター（IL-6、d-ダイマー、CRP、LDHまたは血清フェリチン）の上昇、または/およびリンパ球減少の悪化。	Inflammatory parameters elevation (IL-6, d-dimer, CRP, LDH or  serum ferritin), or/and worsening lymphopenia.	2021-08-28	
Note-id_95	フィブリン、フィブリノーゲンの分解産物の上昇。	Elevated degradation products of fibrin and fibrinogen.	2021-08-28	
Note-id_96	抗凝固阻害剤（対血栓性疾患）。	Anti-clotting inhibitor agents (against thrombotic diseases).	2021-08-28	
Note-id_97	IL-1レセプターアンタゴニスト（IL-1Ra）（対敗血症性ショック、臓器炎症）。	IL-1 receptor antagonist (IL-1Ra) (against septic shock or organ inflammation).	2021-08-28	
Note-id_98	nAChRs、狂犬病キメラワクチン。	nAChRs and rabies vaccine (pathogens chimera capsid).	2021-08-28	
Note-id_99	発症、無症状をとわず感染したヒト→ヒト。	Infected individuals, not only symptomatic but asymptomatic, transmit others.	2021-08-28	
Note-id_100	感染者の多くは無症状にもかかわらず感染力を有するため、日常的に意図せず他者を感染させることとなり、急速な感染拡大、パンデミックに繋がった。	Many infected individuals are asymptomatic but have infectivity, transmit others unknowingly, and its rapid spread cause pandemic.	2021-08-28	2021-08-31
Note-id_101	コウモリをはじめとした動物との接触や洞窟/鉱山などといった場所だけでなく、人獣共通感染症において注意すべき要因、欠けている問題が他にもあるかもしれない。	Missing links and unknown risk factors for zoonoses may present as well as close contact with animals (especially bats) and specific areas (caves, mines and so on).	2021-08-28	
Note-id_102	緊急使用許可；血漿療法。	Emergency use authorization; plasma therapy.	2021-08-28	
Note-id_103	開発中ワクチン；ウイルスベクターワクチン；ChAdOx1 COVID-19、Ad26.COV2.S vaccine。DNA、不活化、サブユニット、ウイルス様粒子ワクチン開発中。臨床効果95％もあり。） （血液型は無関係、ワクチン接種の優先順位には非採用。）	Under developed vaccines; viral vector vaccines (ChAdOx1 COVID-19 and Ad26.COV2.S). DNA, inactivated, subunit and vaccine-like particles vaccines. (Blood group antigens are not susceptibility factors and vaccination should be randomly.)	2021-08-28	2021-09-27
Note-id_104	血糖値コントロール、BMI改善（長期的）。	Glycaemic and BMI control (for long-term).	2021-08-28	
Note-id_105	IL-6阻害薬（対急性呼吸器不全、多臓器不全）。	Anti-IL6 inhibitors (against acute respiratory and multi organ failure).	2021-09-01	
Note-id_106	高炎症症候群への早期IL-6阻害薬治療が、ARDSへの進行を防げるか。また、標準治療のコルチコステロイドとの併用は効果的か。	Early use of anti-IL6 inhibitors against hyperinflammatory syndrome would be beneficial and may avoid progressing to ARDS. Combined use of IL6-inhibitors (e.g., sarilumab) and corticosteroids may produce better outcomes.	2021-09-01	2021-09-27
Note-id_107	コルチコステロイド（対新型コロナウイルス肺炎（標準治療））。	Corticosteroids (against COVID-19 pneumonia (SOC)).	2021-09-01	
Note-id_108	肺浸潤（放射線写真）、ラ音/クラックル音。	Pulmonary infiltrates (radiographically), rales/crackles.	2021-09-01	
Note-id_109	候補宿主動物－潜伏ウイルスの類似性、および他動物ACE2への感染能あり；コウモリ（キクガシラコウモリ）とセンザンコウ。	Candidate animal hosts by harbored virus similarity, and infectious ability to other animal ACE2; bats (Rhinolophus ferrumequinum) and pangolins.	2021-09-01	
Note-id_110	コウモリコロナウイルス株RaTG13（Bat-CoV RaTG13）およびセンザンコウコロナウイルス（Pangolin-CoV-2020）に類似。細胞侵入にヒトおよびその他動物のACE2を使用。 将来、人間へ波及するリスクが高い。これら、及びSARS-CoV、MERS-CoVにはない多塩基furin cleavage siteの獲得で、感染拡大能をもった。	Closely similar to the bat coronavirus strain RaTG13 (Bat-CoV RaTG13) and pangolin coronavirus (Pangolin-CoV-2020). And they also use human ACE2 and a number of animal-ACE2 orthologs for cell entry. High risks of spillover of these viruses into humans in the future. Inserted polybasic furin cleavage site in SARS-CoV-2 spike protein, not in Bat-CoV, Pangolin-CoV, SARS-CoV and MERS-CoV, might high transmission ability of SARS-CoV-2.	2021-09-01	2021-09-08
Note-id_111	SARS-CoV-2の候補宿主（潜伏ウイルス（コウモリコロナウイルス株RaTG13（Bat-CoV RaTG13）など）の類似性、および他動物ACE2への感染能）（キクガシラコウモリ）。	Candidate SARS-CoV-2 host by harbored similar viruses (e.g., bat coronavirus strain RaTG13 (Bat-CoV RaTG13)), and infectious ability to other animal ACE2 (Rhinolophus ferrumequinum).	2021-09-01	2021-09-27
Note-id_112	SARS-CoV-2の候補宿主（潜伏ウイルス（Pangolin-CoV-2020など）の類似性、および他動物ACE2への感染能）。	Candidate SARS-CoV-2 host by harbored similar viruses (e.g., Pangolin-CoV-2020), and infectious ability to other animal ACE2.	2021-09-01	2021-09-27
Note-id_113	候補宿主動物－SARS-CoV-2に対するACE2オルソログ能あり； ラクダ、ウシ、ウマ、ヤギ、ヒツジ、ネコ、ウサギ、センザンコウ、ハイイログマ（コンピューター上）。	Candidate animal hosts by ACE2 ortholog ability against SARS-CoV-2; camels, cattle, horses, goats, sheep, cats, rabbits, pangolins and grizzly bears (in silico).	2021-09-01	
Note-id_114	ACE2 （ACE-2）（新型コロナウイルス感染症）。	ACE2 (ACE-2) (COVID-19).	2021-09-01	
Note-id_115	SARS-CoV-2の候補宿主（ACE2オルソログ）。	Candidate SARS-CoV-2 host by ACE2 ortholog ability.	2021-09-01	
Note-id_116	未確認。	Unidentified.	2021-09-01	
Note-id_117	新型コロナウイルス感染症において注意すべき要因、欠けている問題が他にもあるかもしれない。	Missing links and unknown risk factors for COVID-19 may present.	2021-09-01	
Note-id_118	開発中；ACE2-Ig（SARS-CoV-2やその他コロナウィルスにも効果あり）。組み換えACE2。	Under developed; ACE2-Ig (against SARS-CoV-2 and some other SARS-like viruses). Recombinant ACE2.	2021-09-01	
Note-id_119	人獣共通感染症。	Zoonosis.	2021-09-01	
