Dic-id	lexicalCue	exactID	synonymID	Registered	LastUpdated
Dic-id_62	significance			2021-08-21	
Dic-id_63	control			2021-08-21	
Dic-id_64	forest	MESH:D065928		2021-08-21	
Dic-id_65	disaster			2021-08-21	
Dic-id_66	extract			2021-08-21	
Dic-id_67	inhibited			2021-08-21	
Dic-id_68	budesonide	MESH:D019819		2021-08-21	
Dic-id_69	extract			2021-08-21	
Dic-id_70	basal tone			2021-08-21	
Dic-id_71	contractions			2021-08-21	
Dic-id_72	rat	Tax:10116		2021-08-21	
Dic-id_73	small intestinal	MESH:D007421		2021-08-21	
Dic-id_74	mild			2021-08-21	
Dic-id_75	spasmolytic effect	MESH:D010276		2021-08-21	
Dic-id_76	higher			2021-08-21	
Dic-id_77	concentrations			2021-08-21	
Dic-id_78	suppression			2021-08-21	
Dic-id_79	relaxation	MESH:D012063		2021-08-21	
Dic-id_80	Phlebotomine sand flies	Tax:7198		2021-08-21	
Dic-id_81	transmit	MESH:D018562		2021-08-21	
Dic-id_82	viral	Tax:10239		2021-08-21	
Dic-id_83	protozoan			2021-08-21	
Dic-id_84	bacterial	Tax:2		2021-08-21	
Dic-id_85	pathogens			2021-08-21	
Dic-id_86	public health	MESH:D011634		2021-08-21	
Dic-id_87	Animal sheds			2021-08-21	
Dic-id_88	termite mounds			2021-08-21	
Dic-id_89	houses			2021-08-21	
Dic-id_90	peri-domestic			2021-08-21	
Dic-id_91	domestic			2021-08-21	
Dic-id_92	habitats	MESH:D017753		2021-08-21	
Dic-id_93	sand flies	Tax:7198		2021-08-21	
Dic-id_94	resting			2021-08-21	
Dic-id_95	breeding	MESH:D001947		2021-08-21	
Dic-id_96	CDC light traps			2021-08-21	
Dic-id_97	distribution	MESH:D063147		2021-08-21	
Dic-id_98	three			2021-08-21	
Dic-id_99	endemic	MESH:D019353		2021-08-21	
Dic-id_100	leishmaniasis	MESH:D007896		2021-08-21	
Dic-id_101	Kenya	MESH:D007630		2021-08-21	
Dic-id_102	dry season			2021-08-21	
Dic-id_103	abundant			2021-08-21	
Dic-id_104	2018			2021-08-21	
Dic-id_105	2020			2021-08-21	
Dic-id_106	Sand fly	Tax:7198		2021-08-21	
Dic-id_107	abundance			2021-08-21	
Dic-id_108	species-specific			2021-08-21	
Dic-id_109	community structure		MESH:D058448	2021-08-21	
Dic-id_110	Shannon diversity and richness		MESH:D058448	2021-08-21	
Dic-id_111	highest			2021-08-21	
Dic-id_112	animal shed			2021-08-21	
Dic-id_113	termite mound			2021-08-21	
Dic-id_114	lowest			2021-08-21	
Dic-id_115	human dwelling			2021-08-21	
Dic-id_116	house			2021-08-21	
Dic-id_117	females	MESH:D005260		2021-08-21	
Dic-id_118	host			2021-08-21	
Dic-id_119	blood	MESH:D001769		2021-08-21	
Dic-id_120	meal	MESH:D062407		2021-08-21	
Dic-id_121	gas chromatography-mass spectrometric analysis	MESH:D008401		2021-08-21	
Dic-id_122	volatiles	MESH:D055549		2021-08-21	
Dic-id_123	foot	MESH:D005528		2021-08-21	
Dic-id_124	odor	MESH:D009812		2021-08-21	
Dic-id_125	worn socks			2021-08-21	
Dic-id_126	houses indoors			2021-08-21	
Dic-id_127	cow	Tax:9913		2021-08-21	
Dic-id_128	dung	MESH:D005243		2021-08-21	
Dic-id_129	enclosed vent			2021-08-21	
Dic-id_130	total of 47			2021-08-21	
Dic-id_131	volatile organic compounds	MESH:D055549		2021-08-21	
Dic-id_132	these	MESH:D055549		2021-08-21	
Dic-id_133	26			2021-08-21	
Dic-id_134	35			2021-08-21	
Dic-id_135	16			2021-08-21	
Dic-id_136	socks			2021-08-21	
Dic-id_137	enclosed			2021-08-21	
Dic-id_138	vent			2021-08-21	
Dic-id_139	1-octen-3-ol	MESH:C038844		2021-08-21	
Dic-id_140	6-methyl-5-hepten-2-one	MESH:C029750		2021-08-21	
Dic-id_141	α-pinene	MESH:C005451		2021-08-21	2021-08-25
Dic-id_142	benzyl alcohol	MESH:D019905		2021-08-21	
Dic-id_143	m-cresol	MESH:C042041		2021-08-21	
Dic-id_144	p-cresol	MESH:C032538		2021-08-21	
Dic-id_145	decanal	MESH:C021170		2021-08-21	
Dic-id_146	attractants		MESH:D010675	2021-08-21	
Dic-id_147	sandflies	Tax:7198		2021-08-21	
Dic-id_148	feeding	MESH:D005247		2021-08-21	
Dic-id_149	insects	Tax:50557		2021-08-21	
Dic-id_150	February 17			2021-08-21	
Dic-id_151	2016			2021-08-21	
Dic-id_152	14,122			2021-08-21	
Dic-id_153	cases			2021-08-21	
Dic-id_154	62			2021-08-21	
Dic-id_155	%			2021-08-21	
Dic-id_156	Ebola Virus Disease	MESH:D019142		2021-08-21	
Dic-id_157	Ebola	MESH:D019142		2021-08-21	
Dic-id_158	3,955			2021-08-21	
Dic-id_159	deaths	MESH:D003643		2021-08-21	
Dic-id_160	Sierra Leone	MESH:D012807		2021-08-21	
Dic-id_161	epidemic	MESH:D058872		2021-08-21	
Dic-id_162	West Africa	MESH:D000354		2021-08-21	
Dic-id_163	2014			2021-08-21	
Dic-id_164	promotion	MESH:D006293		2021-08-21	
Dic-id_165	implementation	MESH:D006284		2021-08-21	
Dic-id_166	safe			2021-08-21	
Dic-id_167	dignified			2021-08-21	
Dic-id_168	burials	MESH:D002048		2021-08-21	
Dic-id_169	prevent			2021-08-21	
Dic-id_170	transmission		MESH:D058872	2021-08-21	
Dic-id_171	limiting			2021-08-21	
Dic-id_172	contact			2021-08-21	
Dic-id_173	infectious		MESH:D018562	2021-08-21	
Dic-id_174	corpses	MESH:D002102		2021-08-21	
Dic-id_175	Traditional		MESH:D003469	2021-08-21	2021-09-21
Dic-id_176	funeral	MESH:D005655		2021-08-21	
Dic-id_177	infected		MESH:D018562	2021-08-21	
Dic-id_178	bodies		MESH:D001829	2021-08-21	
Dic-id_179	body fluids	MESH:D001826		2021-08-21	
Dic-id_180	contaminated		MESH:D057219	2021-08-21	
Dic-id_181	clothing	MESH:D003020		2021-08-21	
Dic-id_182	other personal items			2021-08-21	
Dic-id_183	a time			2021-08-21	
Dic-id_184	viral load	MESH:D019562		2021-08-21	
Dic-id_185	high			2021-08-21	
Dic-id_186	Immediate			2021-08-21	
Dic-id_187	trained teams	Tax:9606	MESH:D009274	2021-08-21	
Dic-id_188	protective equipment	MESH:D000067393		2021-08-21	
Dic-id_189	interrupt			2021-08-21	
Dic-id_190	active			2021-08-21	
Dic-id_191	these measures			2021-08-21	
Dic-id_192	current			2021-08-21	
Dic-id_193	Ministry of Health and Sanitation			2021-08-21	
Dic-id_194	CDC	MESH:D002487		2021-08-21	
Dic-id_195	investigated			2021-08-21	
Dic-id_196	implemented	MESH:D006284		2021-08-21	
Dic-id_197	cluster	MESH:D000086822		2021-08-21	
Dic-id_198	community engagement		MESH:D018672	2021-08-21	
Dic-id_199	surveillance	MESH:D011159		2021-08-21	
Dic-id_200	close follow-up of contacts	MESH:D016358		2021-08-21	
Dic-id_201	July 11			2021-08-21	
Dic-id_202	October 31			2021-08-21	
Dic-id_203	2014			2021-08-21	
Dic-id_204	28			2021-08-21	
Dic-id_205	persons	Tax:9606		2021-08-21	
Dic-id_206	pharmacist	MESH:D010595		2021-08-21	
Dic-id_207	September 5-7			2021-08-21	
Dic-id_208	28			2021-08-21	
Dic-id_209	attendees	Tax:9606		2021-08-21	
Dic-id_210	21			2021-08-21	
Dic-id_211	75			2021-08-21	
Dic-id_212	touching	MESH:D014110		2021-08-21	
Dic-id_213	man	MESH:D010595		2021-08-21	
Dic-id_214	corpse	MESH:D002102		2021-08-21	
Dic-id_215	16			2021-08-21	
Dic-id_216	57			2021-08-21	
Dic-id_217	direct			2021-08-21	
Dic-id_218	before			2021-08-21	
Dic-id_219	he	MESH:D010595		2021-08-21	
Dic-id_220	died	MESH:D003643		2021-08-21	
Dic-id_221	Ebola virus	Tax:186536		2021-08-21	
Dic-id_222	outbreak	MESH:D004196		2021-08-21	
Dic-id_223	Ebola disease	MESH:D019142		2021-08-21	
Dic-id_224	Western countries of the African	MESH:D000354		2021-08-21	
Dic-id_225	Ebola viral infections	MESH:D019142		2021-08-21	
Dic-id_226	ebola	Tax:186536		2021-08-21	
Dic-id_227	transmitted		MESH:D004196	2021-08-21	
Dic-id_228	European	MESH:D005060		2021-08-21	
Dic-id_229	American	MESH:D009656		2021-08-21	
Dic-id_230	travelers	Tax:9606	MESH:D014195	2021-08-21	
Dic-id_231	spread		MESH:D004196	2021-08-21	
Dic-id_232	Guinea	MESH:D016701		2021-08-21	
Dic-id_233	Liberia	MESH:D007988		2021-08-21	
Dic-id_234	Nigeria	MESH:D009549		2021-08-21	
Dic-id_235	viral disease	MESH:D019142		2021-08-21	
Dic-id_236	spreading		MESH:D004196	2021-08-21	
Dic-id_237	persons	Tax:9606		2021-08-21	
Dic-id_238	patients	MESH:D010361		2021-08-21	
Dic-id_239	creating			2021-08-21	
Dic-id_240	mortals		MESH:D009026	2021-08-21	
Dic-id_241	pathogenic		MESH:D015995	2021-08-21	
Dic-id_242	70-80			2021-08-21	
Dic-id_243	death	MESH:D003643		2021-08-21	
Dic-id_244	critical			2021-08-21	
Dic-id_245	hemorrhagic fever	MESH:D019142		2021-08-21	
Dic-id_246	infects	MESH:D012327		2021-08-21	
Dic-id_247	endothelial cells	MESH:D042783		2021-08-21	
Dic-id_248	Viral Protein 24	Gene:911828	Zaire ebolavirus	2021-08-21	
Dic-id_249	eVP24	Gene:911828	Zaire ebolavirus	2021-08-21	
Dic-id_250	prevents			2021-08-21	
Dic-id_251	interferon-based signals	MESH:D010455		2021-08-21	
Dic-id_252	destruction			2021-08-21	
Dic-id_253	viruses	Tax:186536		2021-08-21	
Dic-id_254	immune system	MESH:D007107		2021-08-21	
Dic-id_255	no			2021-08-21	
Dic-id_256	treatment			2021-08-21	
Dic-id_257	bats	Tax:9397		2021-08-21	
Dic-id_258	food	MESH:D005502		2021-08-21	
Dic-id_259	transported			2021-08-21	
Dic-id_260	other parts			2021-08-21	
Dic-id_261	bushmeat	MESH:D008460	MESH:D000835	2021-08-21	
Dic-id_262	Exposure	MESH:D004781		2021-08-21	
Dic-id_263	allergens	MESH:D000485		2021-08-21	
Dic-id_264	cockroach	Tax:85823		2021-08-21	
Dic-id_265	mouse	Tax:10090		2021-08-21	
Dic-id_266	dust mite	Tax:6952		2021-08-21	
Dic-id_267	significantly			2021-08-21	
Dic-id_268	enhanced			2021-08-21	
Dic-id_269	age			2021-08-21	
Dic-id_270	3			2021-08-21	
Dic-id_271	years			2021-08-21	
Dic-id_272	IFN-α	MESH:D016898		2021-08-21	2021-08-25
Dic-id_273	IL-10	Gene:3586		2021-08-21	
Dic-id_274	responses			2021-08-21	
Dic-id_275	phytohemagglutinin	MESH:D010835		2021-08-21	
Dic-id_276	reduced			2021-08-21	
Dic-id_277	birth		MESH:D050498	2021-08-21	
Dic-id_278	recurrent			2021-08-21	
Dic-id_279	wheeze	MESH:D012135		2021-08-21	
Dic-id_280	biologic exposures	MESH:D004781		2021-08-21	
Dic-id_281	endotoxin	MESH:D004731		2021-08-21	
Dic-id_282	urban	MESH:D002947		2021-08-21	
Dic-id_283	stimulate			2021-08-21	
Dic-id_284	early life			2021-08-21	
Dic-id_285	microbial	Tax:2		2021-08-21	
Dic-id_286	stimuli			2021-08-21	
Dic-id_287	allergic sensitization			2021-08-21	
Dic-id_288	SARS-CoV-2	Tax:2697049		2021-08-21	
Dic-id_289	infection	MESH:D007239		2021-08-21	
Dic-id_290	transmission	MESH:D018562		2021-08-21	
Dic-id_291	cats	Tax:9685		2021-08-21	
Dic-id_292	ferrets	Tax:9669		2021-08-21	
Dic-id_293	hamsters	Tax:10026		2021-08-21	
Dic-id_294	non-human primates	Tax:9443		2021-08-21	
Dic-id_295	experimental settings			2021-08-21	
Dic-id_296	Dogs	Tax:9615		2021-08-21	
Dic-id_297	limited			2021-08-21	
Dic-id_298	susceptibility	MESH:D004198		2021-08-21	
Dic-id_299	pigs	Tax:9823		2021-08-21	
Dic-id_300	poultry	MESH:D011200		2021-08-21	
Dic-id_301	do			2021-08-21	2021-10-05
Dic-id_302	susceptible	MESH:D004198		2021-08-21	
Dic-id_303	Naturally			2021-08-21	
Dic-id_304	infections	MESH:D007239		2021-08-21	
Dic-id_305	animals			2021-08-21	
Dic-id_306	14			2021-08-21	
Dic-id_307	pets	MESH:D057805		2021-08-21	
Dic-id_308	8			2021-08-21	
Dic-id_309	captive		MESH:D000829	2021-08-21	
Dic-id_310	big			2021-08-21	
Dic-id_311	unreported number			2021-08-21	
Dic-id_312	farmed		MESH:D000829	2021-08-21	
Dic-id_313	mink	Tax:9666		2021-08-21	
Dic-id_314	early July			2021-08-21	
Dic-id_315	asymptomatic	MESH:D058345		2021-08-21	
Dic-id_316	respiratory		MESH:D012120	2021-08-21	
Dic-id_317	gastrointestinal disease	MESH:D005767		2021-08-21	
Dic-id_318	disease		MESH:D012120	2021-08-21	
Dic-id_319	mild			2021-08-21	
Dic-id_320	moderate			2021-08-21	
Dic-id_321	felines	Tax:9681		2021-08-21	
Dic-id_322	severe			2021-08-21	
Dic-id_323	fatal		MESH:D003643	2021-08-21	
Dic-id_324	close contact		MESH:D018562	2021-08-21	
Dic-id_325	COVID-19	MESH:D000086382		2021-08-21	
Dic-id_326	domestic		MESH:D000829	2021-08-21	
Dic-id_327	settings			2021-08-21	
Dic-id_328	self-limiting			2021-08-21	
Dic-id_329	high-density		MESH:D003441	2021-08-21	
Dic-id_330	environments			2021-08-21	
Dic-id_331	sustained			2021-08-21	
Dic-id_332	two			2021-08-21	
Dic-id_333	animal			2021-08-21	
Dic-id_334	infected	MESH:D007239		2021-08-21	
Dic-id_335	farms	MESH:D000072480		2021-08-21	
Dic-id_336	millions			2021-08-21	
Dic-id_337	worldwide			2021-08-21	
Dic-id_338	zoonotic	MESH:D000086965		2021-08-21	
Dic-id_339	anthroponotic		MESH:D000086965	2021-08-21	
Dic-id_340	community transmission	MESH:D018562		2021-08-21	
Dic-id_341	global			2021-08-21	
Dic-id_342	pandemic	MESH:D058873		2021-08-21	
Dic-id_343	severe acute respiratory syndrome coronavirus 2	Tax:2697049		2021-08-21	
Dic-id_344	bat	Tax:9397		2021-08-21	
Dic-id_345	One Health	MESH:D000074823		2021-08-21	
Dic-id_346	zoonotic disease	MESH:D000086965		2021-08-21	
Dic-id_347	disease transmission	MESH:D018562		2021-08-21	
Dic-id_348	zoonoses	MESH:D000086965		2021-08-21	
Dic-id_349	epidemiology	MESH:D004813		2021-08-21	
Dic-id_350	disease	MESH:D000086965		2021-08-21	
Dic-id_351	veterinary	MESH:Q000662		2021-08-21	
Dic-id_352	interface			2021-08-21	
Dic-id_353	1-octen-3-ol	CID:18827		2021-08-21	
Dic-id_354	6-methyl-5-hepten-2-one	CID:9862		2021-08-21	
Dic-id_355	α-pinene	CID:6654		2021-08-21	2021-08-25
Dic-id_356	benzyl alcohol	CID:244		2021-08-21	
Dic-id_357	m-cresol	CID:342		2021-08-21	
Dic-id_358	p-cresol	CID:2879		2021-08-21	
Dic-id_359	decanal	CID:8175		2021-08-21	
Dic-id_360	pharmacist	Tax:9606		2021-08-21	
Dic-id_361	man	Tax:9606		2021-08-21	
Dic-id_362	he	Tax:9606		2021-08-21	
Dic-id_363	patients	Tax:9606		2021-08-21	
Dic-id_364	coronavirus	Tax:694002		2021-08-23	
Dic-id_365	infects		MESH:D053585	2021-08-23	
Dic-id_366	angiotensin-converting enzyme 2	Gene:59272		2021-08-23	
Dic-id_367	proteases	MESH:D010447		2021-08-23	
Dic-id_368	spike protein	Gene:43740568		2021-08-23	
Dic-id_369	virus	Tax:2697049		2021-08-23	
Dic-id_370	enhance			2021-08-23	
Dic-id_371	cellular entry		MESH:D053586	2021-08-23	
Dic-id_372	Neuropilin 1	Gene:8829		2021-08-23	
Dic-id_373	Neuropilin	Gene:8828		2021-08-23	
Dic-id_374	2	Gene:8828		2021-08-23	
Dic-id_375	NRP1	Gene:8829		2021-08-23	
Dic-id_376	NRP2	Gene:8828		2021-08-23	
Dic-id_377	additional			2021-08-23	
Dic-id_378	viral	Tax:2697049		2021-08-23	
Dic-id_379	entry		MESH:D053586	2021-08-23	
Dic-id_380	pain	MESH:D010146		2021-08-23	
Dic-id_381	acute phase			2021-08-23	
Dic-id_382	disease	MESH:D000086382		2021-08-23	
Dic-id_383	later stages			2021-08-23	
Dic-id_384	long COVID	MESH:C000711409		2021-08-23	
Dic-id_385	peripheral nervous system	MESH:D017933		2021-08-23	
Dic-id_386	early			2021-08-23	
Dic-id_387	late stage			2021-08-23	
Dic-id_388	stage			2021-08-23	
Dic-id_389	infection	MESH:D012327		2021-08-23	
Dic-id_390	nociceptors	MESH:D009619		2021-08-23	
Dic-id_391	induce			2021-08-23	
Dic-id_392	nociceptor	MESH:D009619		2021-08-23	
Dic-id_393	excitability			2021-08-23	
Dic-id_394	promote			2021-08-23	
Dic-id_395	neuropathies			2021-08-23	
Dic-id_396	worsen			2021-08-23	
Dic-id_397	Wuhan		MESH:D002681	2021-08-23	
Dic-id_398	Hubei		MESH:D002681	2021-08-23	2021-09-02
Dic-id_399	China	MESH:D002681		2021-08-23	
Dic-id_400	late			2021-08-23	
Dic-id_401	2019			2021-08-23	
Dic-id_402	globe			2021-08-23	
Dic-id_403	21 million			2021-08-23	
Dic-id_404	people	Tax:9606		2021-08-23	
Dic-id_405	0.75 million			2021-08-23	
Dic-id_406	restricting the movement			2021-08-23	
Dic-id_407	6 months			2021-08-23	
Dic-id_408	humans	Tax:9606		2021-08-23	
Dic-id_409	SARS-CoV-2 infections	MESH:D000086382		2021-08-23	
Dic-id_410	animal hosts	Tax:40674		2021-08-23	
Dic-id_411	dog	Tax:9615		2021-08-23	
Dic-id_412	cat	Tax:9685		2021-08-23	
Dic-id_413	tiger	Tax:9694		2021-08-23	
Dic-id_414	lion	Tax:9689		2021-08-23	
Dic-id_415	animals	Tax:40674		2021-08-23	
Dic-id_416	COVID-19 (COVID-19 virus)		Tax:2697049	2021-08-23	2021-08-26
Dic-id_417	2019-nCoV	Tax:2697049		2021-08-23	
Dic-id_418	December			2021-08-23	
Dic-id_419	World Health Organization	MESH:D014944		2021-08-23	
Dic-id_420	about 98.0 million			2021-08-23	
Dic-id_421	cases	MESH:D000086382		2021-08-23	
Dic-id_422	about 2.0 million			2021-08-23	
Dic-id_423	January			2021-08-23	
Dic-id_424	2021			2021-08-23	
Dic-id_425	vaccine candidates	MESH:D000086663		2021-08-23	
Dic-id_426	around 95			2021-08-23	
Dic-id_427	clinical efficacy	MESH:D016896		2021-08-23	
Dic-id_428	emergency	MESH:D004630		2021-08-23	2021-11-10
Dic-id_429	use			2021-08-23	
Dic-id_430	different countries			2021-08-23	
Dic-id_431	US FDA	MESH:D014486		2021-08-23	
Dic-id_432	BNT162	MESH:C000711953		2021-08-23	
Dic-id_433	BNT162	MESH:C000706168		2021-08-23	
Dic-id_434	mRNA-1273	MESH:C000711953		2021-08-23	
Dic-id_435	mRNA-1273	MESH:C000706174		2021-08-23	
Dic-id_436	Pfizer/BioNTech			2021-08-23	
Dic-id_437	Moderna Inc.			2021-08-23	
Dic-id_438	vaccination	MESH:D014611		2021-08-23	
Dic-id_439	USA	MESH:D014481		2021-08-23	
Dic-id_440	coronavirus disease 2019	MESH:D000086382		2021-08-23	2021-08-26
Dic-id_441	respiratory failure	MESH:D012131		2021-08-23	
Dic-id_442	severe cases			2021-08-23	
Dic-id_443	communicability period		MESH:D055256	2021-08-23	
Dic-id_444	2-14			2021-08-23	
Dic-id_445	days			2021-08-23	
Dic-id_446	high temperature	MESH:D005334		2021-08-23	
Dic-id_447	fever	MESH:D005334		2021-08-23	
Dic-id_448	consistent			2021-08-23	
Dic-id_449	cough	MESH:D003371		2021-08-23	
Dic-id_450	serious			2021-08-23	
Dic-id_451	breathing problems			2021-08-23	
Dic-id_452	inflammation	MESH:D007249		2021-08-23	
Dic-id_453	lungs	MESH:D008168		2021-08-23	
Dic-id_454	organ		MESH:D058958	2021-08-23	
Dic-id_455	malfunction		MESH:Q000503	2021-08-23	
Dic-id_456	comorbidities	MESH:D015897		2021-08-23	
Dic-id_457	diabetes	MESH:D003920		2021-08-23	
Dic-id_458	heart disease	MESH:D006331		2021-08-23	
Dic-id_459	obesity	MESH:D009765		2021-08-23	
Dic-id_460	remdesivir	MESH:C000606551		2021-08-23	
Dic-id_461	cure			2021-08-23	
Dic-id_462	clinical trial treatments			2021-08-23	
Dic-id_463	vaccines	MESH:D000086663		2021-08-23	
Dic-id_464	globally			2021-08-23	
Dic-id_465	hand washing		MESH:D063373	2021-08-23	
Dic-id_466	antiseptic	MESH:D000891		2021-08-23	
Dic-id_467	soap	MESH:D012915		2021-08-23	
Dic-id_468	running			2021-08-23	
Dic-id_469	water	MESH:D014867		2021-08-23	
Dic-id_470	usage		MESH:D063373	2021-08-23	
Dic-id_471	alcohol hand sanitizer	MESH:D064548		2021-08-23	
Dic-id_472	frequent			2021-08-23	
Dic-id_473	surfaces cleaning			2021-08-23	
Dic-id_474	social distancing	MESH:D000085762		2021-08-23	
Dic-id_475	regular			2021-08-23	
Dic-id_476	respiratory hygiene			2021-08-23	
Dic-id_477	protective face masks	MESH:D008397		2021-08-23	
Dic-id_478	testing			2021-08-23	
Dic-id_479	self-isolation		MESH:D010356	2021-08-23	
Dic-id_480	quarantine	MESH:D011790		2021-08-23	
Dic-id_481	contact tracing	MESH:D016358		2021-08-23	
Dic-id_482	control		MESH:D017053	2021-08-23	
Dic-id_483	transmission		MESH:D000086965	2021-08-23	
Dic-id_484	pathogen			2021-08-23	
Dic-id_485	only the strict compliance			2021-08-23	
Dic-id_486	measures provided above			2021-08-23	
Dic-id_487	prevention			2021-08-23	
Dic-id_488	24.32			2021-08-24	
Dic-id_489	symptomatic			2021-08-24	
Dic-id_490	them	Tax:9606		2021-08-24	
Dic-id_491	55.9			2021-08-24	
Dic-id_492	52.75			2021-08-24	
Dic-id_493	sore throat	MESH:D010608		2021-08-24	
Dic-id_494	49.6			2021-08-24	
Dic-id_495	shortness of breath	MESH:D004417		2021-08-24	
Dic-id_496	46.45			2021-08-24	
Dic-id_497	headache	MESH:D006261		2021-08-24	
Dic-id_498	26.77			2021-08-24	
Dic-id_499	chest pain	MESH:D002637		2021-08-24	
Dic-id_500	6.29			2021-08-24	
Dic-id_501	other symptoms			2021-08-24	
Dic-id_502	7.87			2021-08-24	
Dic-id_503	pain abdomen	MESH:D015746		2021-08-24	
Dic-id_504	fatigue	MESH:D005221		2021-08-24	
Dic-id_505	joints pain	MESH:D018771		2021-08-24	
Dic-id_506	altered sensorium			2021-08-24	
Dic-id_507	older age			2021-08-24	
Dic-id_508	average of 40.40			2021-08-24	
Dic-id_509	patient	Tax:9606		2021-08-24	
Dic-id_510	above 50			2021-08-24	
Dic-id_511	years of age			2021-08-24	
Dic-id_512	none			2021-08-24	
Dic-id_513	below 10			2021-08-24	
Dic-id_514	co morbidity	MESH:D015897		2021-08-24	
Dic-id_515	hypertension	MESH:D006973		2021-08-24	
Dic-id_516	42.46			2021-08-24	
Dic-id_517	Diabetes mellitus	MESH:D003920		2021-08-24	
Dic-id_518	39.72			2021-08-24	
Dic-id_519	Old k-chest			2021-08-24	
Dic-id_520	20.54			2021-08-24	
Dic-id_521	COPD	MESH:D029424		2021-08-24	
Dic-id_522	Bronchial Asthma	MESH:D001249		2021-08-24	
Dic-id_523	16.43			2021-08-24	
Dic-id_524	Coronary artery disease	MESH:D003324		2021-08-24	
Dic-id_525	13.69			2021-08-24	
Dic-id_526	Chronic kidney disease	MESH:D051436		2021-08-24	
Dic-id_527	Valvular heart disease	MESH:D006349		2021-08-24	
Dic-id_528	6.84			2021-08-24	
Dic-id_529	RT-PCR	MESH:D020133		2021-08-24	
Dic-id_530	average			2021-08-24	
Dic-id_531	recovery			2021-08-24	
Dic-id_532	8.15			2021-08-24	
Dic-id_533	23.27			2021-08-24	
Dic-id_534	recovered			2021-08-24	
Dic-id_535	within 5			2021-08-24	
Dic-id_536	52.58			2021-08-24	
Dic-id_537	took			2021-08-24	
Dic-id_538	about 6-10			2021-08-24	
Dic-id_539	11-15			2021-08-24	
Dic-id_540	remaining	Tax:9606		2021-08-24	
Dic-id_541	0.86			2021-08-24	
Dic-id_542	more than 16			2021-08-24	
Dic-id_543	recover			2021-08-24	
Dic-id_544	15			2021-08-24	
Dic-id_545	73.33			2021-08-24	
Dic-id_546	year of age			2021-08-24	
