lexisDic-id	lexicalCue	lexicalCue_jpn	Registered	LastUpdated
lexisDic-id_61	ants	アリ	2021-08-21	
lexisDic-id_62	significance	重要	2021-08-21	
lexisDic-id_63	control	制御	2021-08-21	
lexisDic-id_64	forest	森林	2021-08-21	
lexisDic-id_65	disaster	災害	2021-08-21	
lexisDic-id_66	extract	抽出物	2021-08-21	
lexisDic-id_67	inhibited	阻害	2021-08-21	
lexisDic-id_68	budesonide	ブデソニド	2021-08-21	
lexisDic-id_69	extract	調整物	2021-08-21	
lexisDic-id_70	basal tone	基底緊張	2021-08-21	
lexisDic-id_71	contractions	収縮	2021-08-21	
lexisDic-id_72	rat	ラット	2021-08-21	
lexisDic-id_73	small intestinal	小腸	2021-08-21	
lexisDic-id_74	mild	適度な	2021-08-21	
lexisDic-id_75	spasmolytic effect	痙攣効果	2021-08-21	
lexisDic-id_76	higher	高	2021-08-21	
lexisDic-id_77	concentrations	濃度	2021-08-21	
lexisDic-id_78	suppression	抑制	2021-08-21	
lexisDic-id_79	relaxation	緩和	2021-08-21	
lexisDic-id_80	Phlebotomine sand flies	フレボトミンサシチョウバエ	2021-08-21	
lexisDic-id_81	transmit	媒介	2021-08-21	
lexisDic-id_82	viral	ウイルス性	2021-08-21	
lexisDic-id_83	protozoan	原生動物	2021-08-21	
lexisDic-id_84	bacterial	細菌性	2021-08-21	
lexisDic-id_85	pathogens	病原体	2021-08-21	
lexisDic-id_86	public health	公衆衛生	2021-08-21	
lexisDic-id_87	Animal sheds	動物小屋	2021-08-21	
lexisDic-id_88	termite mounds	シロアリの塚	2021-08-21	
lexisDic-id_89	houses	巣	2021-08-21	
lexisDic-id_90	peri-domestic	家屋周辺の	2021-08-21	
lexisDic-id_91	domestic	家屋の	2021-08-21	
lexisDic-id_92	habitats	生息地	2021-08-21	
lexisDic-id_93	sand flies	サシチョウバエ	2021-08-21	
lexisDic-id_94	resting	休息	2021-08-21	
lexisDic-id_95	breeding	繁殖	2021-08-21	
lexisDic-id_96	CDC light traps	CDCライトトラップ 	2021-08-21	
lexisDic-id_97	distribution	分布	2021-08-21	
lexisDic-id_98	three	3つ	2021-08-21	
lexisDic-id_99	endemic	流行	2021-08-21	
lexisDic-id_100	leishmaniasis	リーシュマニア症	2021-08-21	
lexisDic-id_101	Kenya	ケニア	2021-08-21	
lexisDic-id_102	dry season	乾季	2021-08-21	
lexisDic-id_103	abundant	多量	2021-08-21	
lexisDic-id_104	2018	2018年	2021-08-21	
lexisDic-id_105	2020	2020年	2021-08-21	
lexisDic-id_106	Sand fly	サシチョウバエ	2021-08-21	
lexisDic-id_107	abundance	多量	2021-08-21	
lexisDic-id_108	species-specific	種特異的	2021-08-21	
lexisDic-id_109	community structure	群集構造	2021-08-21	
lexisDic-id_110	Shannon diversity and richness	種多様性	2021-08-21	
lexisDic-id_111	highest	高い	2021-08-21	
lexisDic-id_112	animal shed	動物小屋	2021-08-21	
lexisDic-id_113	termite mound	シロアリの塚	2021-08-21	
lexisDic-id_114	lowest	低い	2021-08-21	
lexisDic-id_115	human dwelling	ヒトの住居	2021-08-21	
lexisDic-id_116	house	家	2021-08-21	
lexisDic-id_117	females	メス	2021-08-21	
lexisDic-id_118	host	餌	2021-08-21	
lexisDic-id_119	blood	血	2021-08-21	
lexisDic-id_120	meal	食餌	2021-08-21	
lexisDic-id_121	gas chromatography-mass spectrometric analysis	ガスクロマトグラフィー–質量分析法（GC/MS）	2021-08-21	
lexisDic-id_122	volatiles	揮発性物質	2021-08-21	
lexisDic-id_123	foot	足	2021-08-21	
lexisDic-id_124	odor	臭い	2021-08-21	
lexisDic-id_125	worn socks	履いた靴下	2021-08-21	
lexisDic-id_126	houses indoors	屋内の家	2021-08-21	
lexisDic-id_127	cow	ウシ	2021-08-21	
lexisDic-id_128	dung	糞	2021-08-21	
lexisDic-id_129	enclosed vent	密閉された塚	2021-08-21	
lexisDic-id_130	total of 47	合計47	2021-08-21	
lexisDic-id_131	volatile organic compounds	揮発性有機化合物	2021-08-21	
lexisDic-id_132	these	揮発性有機化合物	2021-08-21	
lexisDic-id_133	26	26	2021-08-21	2021-09-08
lexisDic-id_134	35	35	2021-08-21	2021-09-08
lexisDic-id_135	16	16	2021-08-21	2021-09-08
lexisDic-id_136	socks	靴下	2021-08-21	
lexisDic-id_137	enclosed	密閉された	2021-08-21	
lexisDic-id_138	vent	塚	2021-08-21	
lexisDic-id_139	1-octen-3-ol	1-オクテン-3-オール	2021-08-21	
lexisDic-id_140	6-methyl-5-hepten-2-one	6-メチル-5-ヘプテン-2-オン	2021-08-21	
lexisDic-id_141	α-pinene	α-ピネン	2021-08-21	
lexisDic-id_142	benzyl alcohol	ベンジルアルコール	2021-08-21	
lexisDic-id_143	m-cresol	m-クレゾール	2021-08-21	
lexisDic-id_144	p-cresol	p-クレゾール	2021-08-21	
lexisDic-id_145	decanal	デカナール	2021-08-21	
lexisDic-id_146	attractants	誘因物質	2021-08-21	
lexisDic-id_147	sandflies	サシチョウバエ	2021-08-21	
lexisDic-id_148	feeding	吸う	2021-08-21	2021-09-29
lexisDic-id_149	insects	虫	2021-08-21	
lexisDic-id_150	February 17	2月17日	2021-08-21	
lexisDic-id_151	2016	2016年	2021-08-21	
lexisDic-id_152	14,122	14,122	2021-08-21	
lexisDic-id_153	cases	症例	2021-08-21	
lexisDic-id_154	62	62	2021-08-21	
lexisDic-id_155	%	%	2021-08-21	
lexisDic-id_156	Ebola Virus Disease	エボラウイルス病	2021-08-21	
lexisDic-id_157	Ebola	エボラウイルス病	2021-08-21	
lexisDic-id_158	3,955	3,955	2021-08-21	
lexisDic-id_159	deaths	死亡	2021-08-21	
lexisDic-id_160	Sierra Leone	シエラレオネ共和国	2021-08-21	
lexisDic-id_161	epidemic	アウトブレイク	2021-08-21	
lexisDic-id_162	West Africa	西アフリカ	2021-08-21	
lexisDic-id_163	2014	2014年	2021-08-21	
lexisDic-id_164	promotion	促進	2021-08-21	
lexisDic-id_165	implementation	実施	2021-08-21	
lexisDic-id_166	safe	安全	2021-08-21	
lexisDic-id_167	dignified	威厳のある	2021-08-21	
lexisDic-id_168	burials	埋葬	2021-08-21	
lexisDic-id_169	prevent	防止	2021-08-21	
lexisDic-id_170	transmission	伝播	2021-08-21	2021-09-09
lexisDic-id_171	limiting	制限	2021-08-21	
lexisDic-id_172	contact	接触	2021-08-21	
lexisDic-id_173	infectious	感染の可能性がある	2021-08-21	
lexisDic-id_174	corpses	死体	2021-08-21	
lexisDic-id_175	Traditional	伝統的	2021-08-21	
lexisDic-id_176	funeral	葬儀	2021-08-21	
lexisDic-id_177	infected	感染した	2021-08-21	
lexisDic-id_178	bodies	体	2021-08-21	
lexisDic-id_179	body fluids	体液	2021-08-21	
lexisDic-id_180	contaminated	汚染された	2021-08-21	
lexisDic-id_181	clothing	衣服	2021-08-21	
lexisDic-id_182	other personal items	その他の身の回り品	2021-08-21	
lexisDic-id_183	a time	とき	2021-08-21	
lexisDic-id_184	viral load	ウイルス量	2021-08-21	
lexisDic-id_185	high	高い	2021-08-21	
lexisDic-id_186	Immediate	即時	2021-08-21	
lexisDic-id_187	trained teams	訓練を受けた専門団	2021-08-21	
lexisDic-id_188	protective equipment	防護具	2021-08-21	
lexisDic-id_189	interrupt	くい止める	2021-08-21	
lexisDic-id_190	active	活発な	2021-08-21	
lexisDic-id_191	these measures	これらの対策	2021-08-21	
lexisDic-id_192	current	現在	2021-08-21	
lexisDic-id_193	Ministry of Health and Sanitation	保健衛生省	2021-08-21	
lexisDic-id_194	CDC	米国疾病予防管理センター（CDC）	2021-08-21	
lexisDic-id_195	investigated	調査	2021-08-21	
lexisDic-id_196	implemented	実施	2021-08-21	
lexisDic-id_197	cluster	クラスター	2021-08-21	
lexisDic-id_198	community engagement	コミュニティ関与	2021-08-21	
lexisDic-id_199	surveillance	監視	2021-08-21	
lexisDic-id_200	close follow-up of contacts	連絡先の綿密なフォローアップ	2021-08-21	
lexisDic-id_201	July 11	2月11日	2021-08-21	
lexisDic-id_202	October 31	10月31日	2021-08-21	
lexisDic-id_203	2014	2014年	2021-08-21	
lexisDic-id_204	28	28	2021-08-21	
lexisDic-id_205	persons	人	2021-08-21	
lexisDic-id_206	pharmacist	薬剤師	2021-08-21	
lexisDic-id_207	September 5-7	9月5-7日	2021-08-21	
lexisDic-id_208	28	28	2021-08-21	
lexisDic-id_209	attendees	出席者	2021-08-21	
lexisDic-id_210	21	21	2021-08-21	2021-10-22
lexisDic-id_211	75	75	2021-08-21	
lexisDic-id_212	touching	触れる	2021-08-21	
lexisDic-id_213	man	薬剤師	2021-08-21	
lexisDic-id_214	corpse	死体	2021-08-21	
lexisDic-id_215	16	16	2021-08-21	2021-10-22
lexisDic-id_216	57	57	2021-08-21	
lexisDic-id_217	direct	直接	2021-08-21	
lexisDic-id_218	before	前	2021-08-21	
lexisDic-id_219	he	薬剤師	2021-08-21	
lexisDic-id_220	died	死ぬ	2021-08-21	
lexisDic-id_221	Ebola virus	エボラウイルス	2021-08-21	
lexisDic-id_222	outbreak	アウトブレイク	2021-08-21	
lexisDic-id_223	Ebola disease	エボラウイルス病	2021-08-21	
lexisDic-id_224	Western countries of the African	西アフリカ	2021-08-21	
lexisDic-id_225	Ebola viral infections	エボラウイルス病	2021-08-21	
lexisDic-id_226	ebola	エボラウイルス	2021-08-21	
lexisDic-id_227	transmitted	伝播する	2021-08-21	2021-09-09
lexisDic-id_228	European	ヨーロッパ	2021-08-21	
lexisDic-id_229	American	アメリカ合衆国	2021-08-21	
lexisDic-id_230	travelers	旅行者	2021-08-21	
lexisDic-id_231	spread	広がった	2021-08-21	
lexisDic-id_232	Guinea	ギニア共和国	2021-08-21	
lexisDic-id_233	Liberia	リベリア共和国	2021-08-21	
lexisDic-id_234	Nigeria	ナイジェリア連邦共和国	2021-08-21	
lexisDic-id_235	viral disease	（エボラウイルス病による）ウイルス性疾患	2021-08-21	2021-09-19
lexisDic-id_236	spreading	広がる	2021-08-21	
lexisDic-id_237	persons	ヒト	2021-08-21	
lexisDic-id_238	patients	患者	2021-08-21	
lexisDic-id_239	creating	うむ	2021-08-21	
lexisDic-id_240	mortals	死の	2021-08-21	
lexisDic-id_241	pathogenic	病原性	2021-08-21	
lexisDic-id_242	70-80	70-80	2021-08-21	
lexisDic-id_243	death	死亡	2021-08-21	
lexisDic-id_244	critical	重篤な	2021-08-21	
lexisDic-id_245	hemorrhagic fever	（エボラ）出血熱	2021-08-21	2021-09-19
lexisDic-id_246	infects	感染する	2021-08-21	
lexisDic-id_247	endothelial cells	内皮細胞	2021-08-21	
lexisDic-id_248	Viral Protein 24	ウイルスタンパク質24	2021-08-21	
lexisDic-id_249	eVP24	eVP24	2021-08-21	
lexisDic-id_250	prevents	防ぐ	2021-08-21	
lexisDic-id_251	interferon-based signals	インターフェロンシグナル	2021-08-21	
lexisDic-id_252	destruction	破壊	2021-08-21	
lexisDic-id_253	viruses	ウイルス	2021-08-21	
lexisDic-id_254	immune system	免疫システム	2021-08-21	
lexisDic-id_255	no	なし	2021-08-21	
lexisDic-id_256	treatment	治療法	2021-08-21	
lexisDic-id_257	bats	コウモリ	2021-08-21	
lexisDic-id_258	food	食料	2021-08-21	
lexisDic-id_259	transported	輸送される	2021-08-21	
lexisDic-id_260	other parts	他の地域	2021-08-21	
lexisDic-id_261	bushmeat	ブッシュミート	2021-08-21	
lexisDic-id_262	Exposure	曝露	2021-08-21	
lexisDic-id_263	allergens	アレルゲン	2021-08-21	
lexisDic-id_264	cockroach	ゴキブリ	2021-08-21	
lexisDic-id_265	mouse	マウス	2021-08-21	
lexisDic-id_266	dust mite	ダニ	2021-08-21	
lexisDic-id_267	significantly	有意に	2021-08-21	
lexisDic-id_268	enhanced	増強	2021-08-21	
lexisDic-id_269	age	歳	2021-08-21	
lexisDic-id_270	3	3	2021-08-21	
lexisDic-id_271	years	歳	2021-08-21	
lexisDic-id_272	IFN-α	IFN-α	2021-08-21	
lexisDic-id_273	IL-10	IL-10	2021-08-21	
lexisDic-id_274	responses	応答	2021-08-21	
lexisDic-id_275	phytohemagglutinin	フィトヘマグルチニン	2021-08-21	
lexisDic-id_276	reduced	減少	2021-08-21	
lexisDic-id_277	birth	出生	2021-08-21	
lexisDic-id_278	recurrent	再発性	2021-08-21	
lexisDic-id_279	wheeze	喘鳴	2021-08-21	
lexisDic-id_280	biologic exposures	生物学的曝露	2021-08-21	
lexisDic-id_281	endotoxin	エンドトキシン	2021-08-21	
lexisDic-id_282	urban	都市部	2021-08-21	
lexisDic-id_283	stimulate	刺激する	2021-08-21	
lexisDic-id_284	early life	幼少期	2021-08-21	
lexisDic-id_285	microbial	微生物による	2021-08-21	
lexisDic-id_286	stimuli	刺激	2021-08-21	
lexisDic-id_287	allergic sensitization	アレルギー感作	2021-08-21	
lexisDic-id_288	SARS-CoV-2	SARS-CoV-2	2021-08-21	
lexisDic-id_289	infection	感染	2021-08-21	
lexisDic-id_290	transmission	伝播	2021-08-21	2021-09-09
lexisDic-id_291	cats	ネコ	2021-08-21	
lexisDic-id_292	ferrets	フェレット	2021-08-21	
lexisDic-id_293	hamsters	ハムスター	2021-08-21	
lexisDic-id_294	non-human primates	ヒト以外の霊長目	2021-08-21	2021-09-29
lexisDic-id_295	experimental settings	人為的に	2021-08-21	
lexisDic-id_296	Dogs	イヌ	2021-08-21	
lexisDic-id_297	limited	限定	2021-08-21	
lexisDic-id_298	susceptibility	感受性	2021-08-21	
lexisDic-id_299	pigs	ブタ	2021-08-21	
lexisDic-id_300	poultry	家禽	2021-08-21	
lexisDic-id_301	do	する	2021-08-21	2021-10-05
lexisDic-id_302	susceptible	感受性	2021-08-21	
lexisDic-id_303	Naturally	自然	2021-08-21	
lexisDic-id_304	infections	感染	2021-08-21	
lexisDic-id_305	animals	動物	2021-08-21	
lexisDic-id_306	14	14	2021-08-21	2021-08-31
lexisDic-id_307	pets	ペット	2021-08-21	
lexisDic-id_308	8	8	2021-08-21	2021-08-31
lexisDic-id_309	captive	飼育下	2021-08-21	
lexisDic-id_310	big	大型	2021-08-21	
lexisDic-id_311	unreported number	未報告数	2021-08-21	
lexisDic-id_312	farmed	養殖	2021-08-21	
lexisDic-id_313	mink	ミンク	2021-08-21	
lexisDic-id_314	early July	7月初旬	2021-08-21	
lexisDic-id_315	asymptomatic	無症候性	2021-08-21	
lexisDic-id_316	respiratory	呼吸器系	2021-08-21	
lexisDic-id_317	gastrointestinal disease	胃腸疾患	2021-08-21	
lexisDic-id_318	disease	疾患	2021-08-21	
lexisDic-id_319	mild	軽度	2021-08-21	
lexisDic-id_320	moderate	中程度	2021-08-21	
lexisDic-id_321	felines	ネコ	2021-08-21	
lexisDic-id_322	severe	重度	2021-08-21	
lexisDic-id_323	fatal	致死的	2021-08-21	
lexisDic-id_324	close contact	濃厚接触	2021-08-21	
lexisDic-id_325	COVID-19	新型コロナウイルス感染症	2021-08-21	
lexisDic-id_326	domestic	飼育	2021-08-21	
lexisDic-id_327	settings	環境下	2021-08-21	
lexisDic-id_328	self-limiting	限定的	2021-08-21	
lexisDic-id_329	high-density	高密度	2021-08-21	
lexisDic-id_330	environments	環境下	2021-08-21	
lexisDic-id_331	sustained	持続する	2021-08-21	
lexisDic-id_332	two	2つ	2021-08-21	
lexisDic-id_333	animal	動物	2021-08-21	
lexisDic-id_334	infected	感染した	2021-08-21	
lexisDic-id_335	farms	農場	2021-08-21	
lexisDic-id_336	millions	数百万	2021-08-21	2021-08-22
lexisDic-id_337	worldwide	全世界	2021-08-21	2021-08-22
lexisDic-id_338	zoonotic	人獣共通感染症	2021-08-21	2021-08-22
lexisDic-id_339	anthroponotic	人獣共通の	2021-08-21	2021-08-22
lexisDic-id_340	community transmission	市中伝播	2021-08-21	2021-09-09
lexisDic-id_341	global	全世界	2021-08-21	
lexisDic-id_342	pandemic	パンデミック	2021-08-21	
lexisDic-id_343	severe acute respiratory syndrome coronavirus 2	severe acute respiratory syndrome coronavirus 2	2021-08-21	
lexisDic-id_344	bat	コウモリ	2021-08-21	
lexisDic-id_345	One Health	ワンヘルス	2021-08-21	
lexisDic-id_346	zoonotic disease	人獣共通感染症	2021-08-21	
lexisDic-id_347	disease transmission	人獣共通感染症の伝播	2021-08-21	2021-09-09
lexisDic-id_348	zoonoses	人獣共通感染症	2021-08-21	
lexisDic-id_349	epidemiology	疫学	2021-08-21	
lexisDic-id_350	disease	人獣共通感染症	2021-08-21	
lexisDic-id_351	veterinary	獣医学の	2021-08-21	
lexisDic-id_352	interface	接点	2021-08-21	
lexisDic-id_353	coronavirus	コロナウイルス科	2021-08-23	
lexisDic-id_354	infects	感染する	2021-08-23	
lexisDic-id_355	angiotensin-converting enzyme 2	アンジオテンシン変換酵素２	2021-08-23	
lexisDic-id_356	proteases	プロテアーゼ	2021-08-23	
lexisDic-id_357	spike protein	スパイクタンパク質	2021-08-23	
lexisDic-id_358	virus	SARS-CoV-2	2021-08-23	2021-08-25
lexisDic-id_359	enhance	促進	2021-08-23	
lexisDic-id_360	cellular entry	細胞侵入	2021-08-23	
lexisDic-id_361	Neuropilin 1	 ニューロピリン1	2021-08-23	
lexisDic-id_362	Neuropilin	 ニューロピリン（2）	2021-08-23	
lexisDic-id_363	2	 （ニューロピリン）2	2021-08-23	
lexisDic-id_364	NRP1	NRP1	2021-08-23	
lexisDic-id_365	NRP2	NRP2	2021-08-23	
lexisDic-id_366	additional	追加の	2021-08-23	
lexisDic-id_367	viral	SARS-CoV-2の	2021-08-23	
lexisDic-id_368	entry	侵入	2021-08-23	
lexisDic-id_369	pain	痛み	2021-08-23	
lexisDic-id_370	acute phase	急性期	2021-08-23	
lexisDic-id_371	disease	新型コロナウイルス感染症	2021-08-23	
lexisDic-id_372	later stages	後期	2021-08-23	
lexisDic-id_373	long COVID	ロングCOVID	2021-08-23	
lexisDic-id_374	peripheral nervous system	末梢神経系	2021-08-23	
lexisDic-id_375	early	初（期）	2021-08-23	
lexisDic-id_376	late stage	後期	2021-08-23	
lexisDic-id_377	stage	（初）期	2021-08-23	
lexisDic-id_378	infection	感染	2021-08-23	
lexisDic-id_379	nociceptors	侵害受容器	2021-08-23	
lexisDic-id_380	induce	誘発	2021-08-23	
lexisDic-id_381	nociceptor	侵害受容器	2021-08-23	
lexisDic-id_382	excitability	興奮性	2021-08-23	
lexisDic-id_383	promote	促進	2021-08-23	
lexisDic-id_384	neuropathies	神経障害	2021-08-23	
lexisDic-id_385	worsen	悪化	2021-08-23	
lexisDic-id_386	Wuhan	武漢	2021-08-23	
lexisDic-id_387	Hubei	湖北省	2021-08-23	
lexisDic-id_388	China	中国	2021-08-23	
lexisDic-id_389	late	末	2021-08-23	
lexisDic-id_390	2019	2019年	2021-08-23	
lexisDic-id_391	globe	全世界	2021-08-23	
lexisDic-id_392	21 million	2100万	2021-08-23	
lexisDic-id_393	people	人	2021-08-23	
lexisDic-id_394	0.75 million	75万	2021-08-23	
lexisDic-id_395	restricting the movement	移動制限	2021-08-23	
lexisDic-id_396	6 months	6カ月間	2021-08-23	
lexisDic-id_397	humans	ヒト	2021-08-23	
lexisDic-id_398	SARS-CoV-2 infections	SARS-CoV-2感染	2021-08-23	
lexisDic-id_399	animal hosts	動物宿主	2021-08-23	
lexisDic-id_400	dog	イヌ	2021-08-23	
lexisDic-id_401	cat	ネコ	2021-08-23	
lexisDic-id_402	tiger	トラ	2021-08-23	
lexisDic-id_403	lion	ライオン	2021-08-23	
lexisDic-id_404	animals	動物（哺乳綱/哺乳類）	2021-08-23	2021-09-29
lexisDic-id_405	COVID-19 (COVID-19 virus)	新型コロナウイルス	2021-08-23	2021-08-26
lexisDic-id_406	2019-nCoV	2019-nCoV	2021-08-23	
lexisDic-id_407	December	12月	2021-08-23	
lexisDic-id_408	World Health Organization	WHO	2021-08-23	
lexisDic-id_409	about 98.0 million	約9,800万（人）	2021-08-23	
lexisDic-id_410	cases	症例	2021-08-23	
lexisDic-id_411	about 2.0 million	約200万（人）	2021-08-23	
lexisDic-id_412	January	1月	2021-08-23	
lexisDic-id_413	2021	2021年	2021-08-23	
lexisDic-id_414	vaccine candidates	COVID-19ワクチン候補	2021-08-23	2021-08-27
lexisDic-id_415	around 95	約95％	2021-08-23	
lexisDic-id_416	clinical efficacy	臨床効果	2021-08-23	
lexisDic-id_417	emergency	緊急	2021-08-23	
lexisDic-id_418	use	使用	2021-08-23	
lexisDic-id_419	different countries	さまざまな国	2021-08-23	
lexisDic-id_420	US FDA	アメリカFDA	2021-08-23	
lexisDic-id_421	BNT162	BNT162	2021-08-23	
lexisDic-id_422	mRNA-1273	mRNA-1273	2021-08-23	
lexisDic-id_423	Pfizer/BioNTech	ファイザーとBioNTech	2021-08-23	
lexisDic-id_424	Moderna Inc.	モデルナ	2021-08-23	
lexisDic-id_425	vaccination	ワクチン接種	2021-08-23	
lexisDic-id_426	USA	アメリカ合衆国	2021-08-23	
lexisDic-id_427	coronavirus disease 2019	coronavirus disease 2019	2021-08-23	
lexisDic-id_428	respiratory failure	呼吸不全	2021-08-23	
lexisDic-id_429	severe cases	重症時	2021-08-23	
lexisDic-id_430	communicability period	感染期間	2021-08-23	
lexisDic-id_431	2-14	2-14	2021-08-23	
lexisDic-id_432	days	日	2021-08-23	
lexisDic-id_433	high temperature	高温	2021-08-23	
lexisDic-id_434	fever	発熱	2021-08-23	
lexisDic-id_435	consistent	一貫した	2021-08-23	
lexisDic-id_436	cough	咳	2021-08-23	
lexisDic-id_437	serious	重篤な	2021-08-23	
lexisDic-id_438	breathing problems	呼吸障害	2021-08-23	
lexisDic-id_439	inflammation	炎症	2021-08-23	
lexisDic-id_440	lungs	肺	2021-08-23	
lexisDic-id_441	organ	臓器	2021-08-23	
lexisDic-id_442	malfunction	機能不全	2021-08-23	
lexisDic-id_443	comorbidities	合併症	2021-08-23	
lexisDic-id_444	diabetes	糖尿病	2021-08-23	
lexisDic-id_445	heart disease	心臓病	2021-08-23	
lexisDic-id_446	obesity	肥満	2021-08-23	
lexisDic-id_447	remdesivir	レムデシビル	2021-08-23	
lexisDic-id_448	cure	治療法	2021-08-23	
lexisDic-id_449	clinical trial treatments	臨床試験治療	2021-08-23	
lexisDic-id_450	vaccines	COVID-19ワクチン	2021-08-23	2021-08-27
lexisDic-id_451	globally	世界的に	2021-08-23	
lexisDic-id_452	hand washing	手洗い	2021-08-23	
lexisDic-id_453	antiseptic	消毒	2021-08-23	
lexisDic-id_454	soap	石鹸	2021-08-23	
lexisDic-id_455	running	流（水）	2021-08-23	
lexisDic-id_456	water	（流）水	2021-08-23	
lexisDic-id_457	usage	使用	2021-08-23	
lexisDic-id_458	alcohol hand sanitizer	アルコール手指消毒剤	2021-08-23	
lexisDic-id_459	frequent	頻繁な	2021-08-23	
lexisDic-id_460	surfaces cleaning	表面洗浄	2021-08-23	
lexisDic-id_461	social distancing	社会的距離の厳格な遵守	2021-08-23	
lexisDic-id_462	regular	定期的	2021-08-23	
lexisDic-id_463	respiratory hygiene	換気	2021-08-23	
lexisDic-id_464	protective face masks	保護用フェイスマスク	2021-08-23	
lexisDic-id_465	testing	検査	2021-08-23	
lexisDic-id_466	self-isolation	自己隔離	2021-08-23	
lexisDic-id_467	quarantine	検疫	2021-08-23	
lexisDic-id_468	contact tracing	コンタクトトレーシング	2021-08-23	
lexisDic-id_469	pathogen	病原体	2021-08-23	
lexisDic-id_470	only the strict compliance	厳格な遵守	2021-08-23	
lexisDic-id_471	measures provided above	上記措置	2021-08-23	
lexisDic-id_472	prevention	防止	2021-08-23	
lexisDic-id_473	24.32	24.32	2021-08-24	
lexisDic-id_474	symptomatic	症候性	2021-08-24	
lexisDic-id_475	them	患者	2021-08-24	
lexisDic-id_476	55.9	55.9	2021-08-24	
lexisDic-id_477	52.75	52.75	2021-08-24	
lexisDic-id_478	sore throat	喉の痛み	2021-08-24	
lexisDic-id_479	49.6	49.6	2021-08-24	
lexisDic-id_480	shortness of breath	息切れ	2021-08-24	
lexisDic-id_481	46.45	46.45	2021-08-24	
lexisDic-id_482	headache	頭痛	2021-08-24	
lexisDic-id_483	26.77	26.77	2021-08-24	
lexisDic-id_484	chest pain	胸痛	2021-08-24	
lexisDic-id_485	6.29	6.29	2021-08-24	
